Index,Shape,Description,Image URL,R,G,B
58,Spiral,A curve that starts from a central point and gradually gets farther away as it revolves around the point.,http://mrmrsenglish.com/wp-content/uploads/2024/02/58-21.png,33,32,32
59,Lissajous curve,"A complex, oscillating curve resulting from the intersection of two perpendicular sinusoidal curves.",http://mrmrsenglish.com/wp-content/uploads/2024/02/59-21.png,4,4,4
60,Rose curve,A petal-shaped curve characterized by specific equations involving trigonometric functions.,http://mrmrsenglish.com/wp-content/uploads/2024/02/60-21.png,215,232,244
61,Limaçon,A flattened loop-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/61-19.png,197,197,197
62,Hippopede,A figure-eight-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/62-19.png,235,241,248
63,Strophoid,A looped curve with a straight tail.,http://mrmrsenglish.com/wp-content/uploads/2024/02/63-19.png,212,221,204
64,Witch of Agnesi,A flattened loop-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/64-19.png,225,229,237
65,Triskele,A motif with three interlocked spirals.,http://mrmrsenglish.com/wp-content/uploads/2024/02/65-19.png,17,17,17
66,Hyperbola,A curve with two separate parts.,http://mrmrsenglish.com/wp-content/uploads/2024/02/66-19.png,235,27,76
67,Parabola,A U-shaped curve.,http://mrmrsenglish.com/wp-content/uploads/2024/02/67-19.png,211,213,246
68,Archimedean spiral,A spiral with constant separation between turns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/68-19.png,199,199,199
69,Fermat’s spiral,A spiral defined by polar equations.,http://mrmrsenglish.com/wp-content/uploads/2024/02/69-19.png,33,32,32
70,Sine wave,A wave resembling the graph of the sine function.,http://mrmrsenglish.com/wp-content/uploads/2024/02/70-18.png,230,230,230
71,Cosine wave,A wave resembling the graph of the cosine function.,http://mrmrsenglish.com/wp-content/uploads/2024/02/71-18.png,14,14,14
72,Square wave,"A wave with sharp, square-shaped oscillations.",http://mrmrsenglish.com/wp-content/uploads/2024/02/72-18.png,133,166,127
73,Sawtooth wave,A wave with linear rise and abrupt drop.,http://mrmrsenglish.com/wp-content/uploads/2024/02/73-17.png,85,87,87
74,Fractal,A complex geometric shape with self-similar patterns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/74-18.png,204,204,204
75,Koch snowflake,A fractal curve made of smaller triangles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/75-18.png,17,17,17
76,Sierpinski triangle,A fractal shape formed by dividing triangles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/76-17.png,202,202,202
77,Mandelbrot set,A famous fractal with intricate patterns.,http://mrmrsenglish.com/wp-content/uploads/2024/02/77-17.png,251,246,227
78,Julia set,Fractal shapes associated with complex numbers.,http://mrmrsenglish.com/wp-content/uploads/2024/02/78-17.png,4,21,26
79,Cantor set,A fractal set of points on a line segment.,http://mrmrsenglish.com/wp-content/uploads/2024/02/79-17.png,25,26,28
80,Apollonian gasket,A fractal shape made by inscribing circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/80-17.png,4,4,4
